date,uniclo,daiso,abcmart
2016-10-30,52,51,6
2016-11-06,37,57,7
2016-11-13,46,64,6
2016-11-20,48,50,6
2016-11-27,37,52,10
2016-12-04,33,51,7
2016-12-11,37,52,7
2016-12-18,28,57,6
2016-12-25,27,59,7
2017-01-01,22,55,5
2017-01-08,23,55,4
2017-01-15,20,57,7
2017-01-22,21,56,4
2017-01-29,22,74,6
2017-02-05,24,71,7
2017-02-12,26,73,8
2017-02-19,20,73,7
2017-02-26,22,74,6
2017-03-05,25,63,7
2017-03-12,22,77,7
2017-03-19,23,72,5
2017-03-26,25,73,6
2017-04-02,22,82,7
2017-04-09,25,82,7
2017-04-16,25,72,4
2017-04-23,29,66,4
2017-04-30,28,90,8
2017-05-07,25,75,8
2017-05-14,34,70,10
2017-05-21,41,64,6
2017-05-28,34,71,8
2017-06-04,27,68,5
2017-06-11,21,66,7
2017-06-18,23,72,5
2017-06-25,24,70,6
2017-07-02,27,74,4
2017-07-09,24,71,8
2017-07-16,20,68,6
2017-07-23,22,70,4
2017-07-30,19,72,7
2017-08-06,20,81,6
2017-08-13,19,73,5
2017-08-20,18,73,6
2017-08-27,23,75,6
2017-09-03,26,64,6
2017-09-10,24,62,4
2017-09-17,33,65,5
2017-09-24,32,66,6
2017-10-01,34,64,5
2017-10-08,48,68,6
2017-10-15,42,61,5
2017-10-22,39,59,5
2017-10-29,46,69,5
2017-11-05,57,68,7
2017-11-12,81,69,6
2017-11-19,65,60,13
2017-11-26,45,68,9
2017-12-03,42,66,9
2017-12-10,41,71,9
2017-12-17,36,63,7
2017-12-24,30,73,6
2017-12-31,30,76,6
2018-01-07,27,74,5
2018-01-14,20,68,6
2018-01-21,30,71,4
2018-01-28,26,69,5
2018-02-04,29,62,7
2018-02-11,24,58,6
2018-02-18,32,81,8
2018-02-25,28,77,7
2018-03-04,31,71,6
2018-03-11,31,70,8
2018-03-18,28,74,5
2018-03-25,32,81,6
2018-04-01,31,70,6
2018-04-08,26,75,6
2018-04-15,29,71,6
2018-04-22,29,69,6
2018-04-29,37,100,5
2018-05-06,32,70,7
2018-05-13,46,69,7
2018-05-20,50,76,6
2018-05-27,31,71,6
2018-06-03,34,78,5
2018-06-10,30,69,7
2018-06-17,26,68,5
2018-06-24,27,67,8
2018-07-01,31,65,7
2018-07-08,26,68,5
2018-07-15,28,79,6
2018-07-22,29,75,8
2018-07-29,26,78,7
2018-08-05,20,73,7
2018-08-12,22,69,7
2018-08-19,24,64,7
2018-08-26,24,66,6
2018-09-02,30,63,8
2018-09-09,36,67,7
2018-09-16,31,65,5
2018-09-23,37,65,5
2018-09-30,39,66,5
2018-10-07,51,63,5
2018-10-14,40,69,6
2018-10-21,48,63,6
2018-10-28,53,66,4
2018-11-04,43,66,6
2018-11-11,84,65,7
2018-11-18,71,70,21
2018-11-25,40,64,10
2018-12-02,41,57,5
2018-12-09,47,62,6
2018-12-16,34,68,5
2018-12-23,36,63,7
2018-12-30,33,59,7
2019-01-06,27,71,5
2019-01-13,25,51,6
2019-01-20,21,56,6
2019-01-27,27,53,6
2019-02-03,31,55,8
2019-02-10,27,62,9
2019-02-17,28,61,5
2019-02-24,24,71,8
2019-03-03,27,62,8
2019-03-10,27,52,7
2019-03-17,26,62,7
2019-03-24,28,59,7
2019-03-31,30,63,8
2019-04-07,28,59,7
2019-04-14,36,65,7
2019-04-21,32,61,7
2019-04-28,36,61,7
2019-05-05,32,65,6
2019-05-12,33,72,7
2019-05-19,55,68,6
2019-05-26,55,72,5
2019-06-02,37,64,8
2019-06-09,30,69,6
2019-06-16,28,70,5
2019-06-23,32,71,9
2019-06-30,32,83,6
2019-07-07,28,77,6
2019-07-14,34,77,7
2019-07-21,44,73,8
2019-07-28,33,71,8
2019-08-04,30,75,6
2019-08-11,24,70,5
2019-08-18,22,66,5
2019-08-25,19,61,4
2019-09-01,18,60,5
2019-09-08,17,59,5
2019-09-15,21,62,5
2019-09-22,24,60,5
2019-09-29,22,62,6
2019-10-06,37,55,7
2019-10-13,61,54,6
2019-10-20,50,51,4
