,Date,Open,High,Low,Close,Volume,Name
32024,2012-08-13,324.03,330.41,323.66,330.34,3268073.0,GOOGL
32025,2012-08-14,329.95,336.76,329.83,334.66,3662178.0,GOOGL
32026,2012-08-15,335.48,337.46,332.38,334.1,2411100.0,GOOGL
32027,2012-08-16,334.09,337.66,333.87,336.77,1717691.0,GOOGL
32028,2012-08-17,337.4,338.96,336.19,338.91,2177896.0,GOOGL
32029,2012-08-20,338.09,339.77,336.67,338.11,1758421.0,GOOGL
32030,2012-08-21,336.89,339.34,331.42,335.09,2222805.0,GOOGL
32031,2012-08-22,334.02,340.64,333.68,338.93,1909262.0,GOOGL
32032,2012-08-23,337.47,340.58,335.84,338.74,1784453.0,GOOGL
32033,2012-08-24,338.14,340.57,337.38,339.65,1429267.0,GOOGL
32034,2012-08-27,331.83,336.34,329.95,334.94,2614131.0,GOOGL
32035,2012-08-28,332.83,339.15,332.7,338.96,2058938.0,GOOGL
32036,2012-08-29,339.02,344.84,338.41,344.35,2991037.0,GOOGL
32037,2012-08-30,342.46,344.04,340.43,341.18,1627704.0,GOOGL
32038,2012-08-31,342.34,344.63,340.36,342.89,2127125.0,GOOGL
32039,2012-09-04,342.62,342.84,337.09,340.86,1889613.0,GOOGL
32040,2012-09-05,340.34,343.59,339.91,340.7,1708169.0,GOOGL
32041,2012-09-06,343.32,350.29,342.71,350.05,3044450.0,GOOGL
32042,2012-09-07,350.35,356.48,349.18,353.43,3236308.0,GOOGL
32043,2012-09-10,355.23,356.76,349.54,350.74,2560067.0,GOOGL
32044,2012-09-11,349.33,350.68,345.85,346.44,1874004.0,GOOGL
32045,2012-09-12,345.05,347.8,340.78,345.78,2642260.0,GOOGL
32046,2012-09-13,346.89,354.85,345.62,353.37,2659302.0,GOOGL
32047,2012-09-14,355.15,356.86,353.86,355.19,2618874.0,GOOGL
32048,2012-09-17,354.41,356.8,352.85,355.34,1508307.0,GOOGL
32049,2012-09-18,354.24,359.69,353.74,359.5,2067249.0,GOOGL
32050,2012-09-19,359.11,364.64,358.56,364.11,3098782.0,GOOGL
32051,2012-09-20,362.6,366.06,360.97,364.42,2907854.0,GOOGL
32052,2012-09-21,366.47,367.83,365.43,367.36,6360376.0,GOOGL
32053,2012-09-24,365.87,375.4,365.49,375.06,3565837.0,GOOGL
32054,2012-09-25,376.9,382.83,374.2,374.95,6061033.0,GOOGL
32055,2012-09-26,375.3,381.0,370.87,377.11,5674334.0,GOOGL
32056,2012-09-27,380.35,381.8,376.2,378.63,3932272.0,GOOGL
32057,2012-09-28,377.45,380.03,375.95,377.63,2784091.0,GOOGL
32058,2012-10-01,379.9,382.88,378.48,381.27,3168477.0,GOOGL
32059,2012-10-02,382.98,383.38,375.51,378.87,2790375.0,GOOGL
32060,2012-10-03,378.24,382.34,376.48,381.63,2208639.0,GOOGL
32061,2012-10-04,381.76,385.33,380.08,384.41,2454496.0,GOOGL
32062,2012-10-05,385.74,387.58,382.88,384.21,2737751.0,GOOGL
32063,2012-10-08,380.88,382.17,377.45,379.3,1958625.0,GOOGL
32064,2012-10-09,380.22,381.04,371.64,372.42,3003884.0,GOOGL
32065,2012-10-10,371.3,374.14,369.51,372.65,2041203.0,GOOGL
32066,2012-10-11,376.83,379.63,375.52,376.12,2383987.0,GOOGL
32067,2012-10-12,376.3,377.81,372.42,372.75,2406787.0,GOOGL
32068,2012-10-15,371.34,372.29,365.72,370.86,3020098.0,GOOGL
32069,2012-10-16,370.44,373.87,368.6,372.72,2058468.0,GOOGL
32070,2012-10-17,372.35,378.55,370.5,378.12,2292819.0,GOOGL
32071,2012-10-18,378.15,380.09,338.34,347.85,12442346.0,GOOGL
32072,2012-10-19,353.14,353.7,336.34,341.24,11483428.0,GOOGL
32073,2012-10-22,340.85,342.66,335.18,339.67,4057872.0,GOOGL
32074,2012-10-23,336.34,344.01,336.34,340.52,2916978.0,GOOGL
32075,2012-10-24,343.74,343.84,337.97,338.99,2496411.0,GOOGL
32076,2012-10-25,340.34,341.34,337.09,339.22,2403696.0,GOOGL
32077,2012-10-26,338.59,341.86,335.94,337.91,1950865.0,GOOGL
32078,2012-10-31,340.27,340.84,337.84,340.49,1537001.0,GOOGL
32079,2012-11-01,340.09,345.8,339.7,344.14,2050471.0,GOOGL
32080,2012-11-02,347.74,348.12,344.03,344.3,2324569.0,GOOGL
32081,2012-11-05,342.59,343.77,338.12,341.82,1635894.0,GOOGL
32082,2012-11-06,343.08,343.59,339.11,341.2,1582936.0,GOOGL
32083,2012-11-07,337.84,339.46,333.58,333.89,2232438.0,GOOGL
32084,2012-11-08,335.44,336.08,325.94,326.47,2598676.0,GOOGL
32085,2012-11-09,327.65,334.5,325.48,331.85,3114084.0,GOOGL
32086,2012-11-12,332.21,335.23,330.77,333.28,1405870.0,GOOGL
32087,2012-11-13,331.83,334.13,329.44,329.86,1594639.0,GOOGL
32088,2012-11-14,330.66,331.42,325.58,326.6,1668322.0,GOOGL
32089,2012-11-15,325.32,330.33,322.27,323.95,1848939.0,GOOGL
32090,2012-11-16,323.32,326.83,318.32,323.91,3438500.0,GOOGL
32091,2012-11-19,328.18,334.79,328.09,334.44,2369716.0,GOOGL
32092,2012-11-20,335.09,339.34,332.62,335.32,2089086.0,GOOGL
32093,2012-11-21,334.83,335.23,330.53,333.27,2113011.0,GOOGL
32094,2012-11-23,335.32,335.33,333.38,334.32,922477.0,GOOGL
32095,2012-11-26,333.55,333.83,329.84,330.91,2205527.0,GOOGL
32096,2012-11-27,330.42,337.84,329.33,335.69,2509598.0,GOOGL
32097,2012-11-28,334.34,342.8,332.28,342.18,3041940.0,GOOGL
32098,2012-11-29,344.23,347.3,341.34,346.29,2780544.0,GOOGL
32099,2012-11-30,346.0,349.96,343.19,349.53,3164441.0,GOOGL
32100,2012-12-03,351.47,353.3,347.4,347.97,2193948.0,GOOGL
32101,2012-12-04,347.85,348.1,343.19,345.86,1991605.0,GOOGL
32102,2012-12-05,346.42,347.6,341.51,344.25,1862735.0,GOOGL
32103,2012-12-06,344.14,348.15,342.6,345.91,1462216.0,GOOGL
32104,2012-12-07,347.85,348.79,341.55,342.45,1919476.0,GOOGL
32105,2012-12-10,343.04,346.17,342.24,343.05,1366866.0,GOOGL
32106,2012-12-11,345.34,351.31,344.2,348.79,2687956.0,GOOGL
32107,2012-12-12,349.96,352.11,347.09,349.13,2426299.0,GOOGL
32108,2012-12-13,358.32,358.6,350.12,351.7,3446306.0,GOOGL
32109,2012-12-14,349.93,354.26,349.56,351.33,2130595.0,GOOGL
32110,2012-12-17,353.1,369.51,352.36,360.75,3036763.0,GOOGL
32111,2012-12-18,358.66,364.91,357.88,360.9,3005138.0,GOOGL
32112,2012-12-19,360.72,361.86,358.7,360.42,1919799.0,GOOGL
32113,2012-12-20,361.99,362.69,358.84,361.54,1657153.0,GOOGL
32114,2012-12-21,357.34,359.77,355.62,358.17,3527849.0,GOOGL
32115,2012-12-24,357.61,357.95,354.09,355.1,841931.0,GOOGL
32116,2012-12-26,354.39,356.8,351.56,354.79,1182572.0,GOOGL
32117,2012-12-27,353.92,354.77,349.65,353.5,1647392.0,GOOGL
32118,2012-12-28,351.2,353.81,350.36,350.36,1403926.0,GOOGL
